playerId,player,position,team,conference,ATT,AVG,CAR,COMPLETIONS,FGA,FGM,FUM,INT,In 20,LONG,LOST,NO,PCT,PD,PTS,QB HUR,REC,SACKS,SOLO,TB,TD,TFL,TOT,XPA,XPM,YDS,YPA,YPC,YPP,YPR
4426492,Noa Pola-Gates,S,New Mexico,Mountain West,,,,,,,0,,,,0,,,7,,0,1,0,33,,0,0,50,,,,,,,
4426499,Hank Bachmeier,QB,Wake Forest,ACC,357,,96,224,,,4,10,,520,2,,0.627,,,,01,,,,1601,,,,,25931141,7.3,1.5,,1.0
4426505,LaVonta Bentley,LB,Colorado,Big 12,,,,,,,0,,,,0,,,0,,1,2,1,34,,0,4.0,50,,,,,,,
4426508,Shilo Sanders,S,Colorado,Big 12,,,,,,,0,,,,0,,,1,,0,2,1,42,,1,3,56,,,,,,,
4426510,Rashad Cheney Jr.,DL,South Florida,American Athletic,,,,,,,,,,,,,,0,,0,,0,2,,0,2,7,,,,,,,
4426513,Trikweze Bridges,DB,Florida,SEC,,0.0,,,,,,1,,,,,,5,,0,,0,36,,00,1.0,67,,,0,,,,
4426517,Keenan Garber,CB,Kansas State,Big 12,,24.0,,,,,,1,,,,,,4,,0,,0,22,,00,0.5,27,,,24,,,,
4426524,Kendall Abdur-Rahman,WR,McKendree,Great Lakes,,35.8,,,,,,,,6425,,4,,,,,4,,,,00,,,,,14365,,,,16.3
4426528,Ife Adeyi,WR,Sam Houston,Conference USA,,5.6,9,,,,,,,193228,,8,,0,,0,26,0,2,,0011,0,2,,,4523876,,8.4,,9.2
4426530,Kay'Ron Adams,RB,Michigan State,Big Ten,,9.8,133,,,,1,,,161663,1,4,,,,,015,,,,002,,,,,3985649,,4.9,,5.7
4426535,Theo Wease,WR,Missouri,SEC,,,,,,,,,,70,,,,,,,55,,,,3,,,,,809,,,,14.7
4426538,Mark Aitken,DB,Eastern Illinois,Big South-OVC,,7.5,,,,,,,,10,,2,,0,,0,,0,1,,00,0,1,,,15,,,,
4426542,Darius Alexander,DT,Toledo,Mid-American,,,,,,,,,,,,,,4,,2,,2.5,14,,0,6.5,34,,,,,,,
4426555,Elijah Alston,DL,Miami,ACC,,3.0,,,,,,1,,,,,,1,,1,,2.5,10,,00,3.5,18,,,3,,,,
4426569,J'Coryan Anderson,LB,Marshall,Sun Belt,,13.0,,,,,,1,,,,,,0,,1,,0,12,,11,0.5,29,,,13,,,,
4426570,Ezeriah Anderson,WR,UConn,FBS Independents,,,,,,,,,,44,,,,,,,5,,,,1,,,,,79,,,,15.8
4426571,Cortez Andrews,LB,Alabama A&M,SWAC,,0.0,,,,,,1,,,,,,1,,0,,0,2,,00,0,3,,,0,,,,
4426580,Chike Anigbogu,S,Rice,American Athletic,,,,,,,,,,,,,,2,,2,,1,8,,0,3.0,10,,,,,,,
4426586,Akili Arnold,S,USC,Big Ten,,,,,,,,,,,,,,1,,1,,0.5,32,,0,0.5,53,,,,,,,
4426597,Coco Azema,DB,Northwestern,Big Ten,,12.016.8,,,,,,1,,30,,5,,2,,0,,0,24,,000,1,32,,,1284,,,,
4426606,Isaiah Bagnah,DE,BYU,Big 12,,,,,,,,,,,,,,2,,2,,1,12,,0,2.0,25,,,,,,,
4426608,Keevan Bailey,DB,Campbell,CAA,,,,,,,,,,,,,,0,,0,,0,2,,0,0,3,,,,,,,
4426612,Jarrad Baker,WR,UCF,Big 12,,,,,,,,,,17,,,,,,,6,,,,0,,,,,53,,,,8.8
4426614,Devin Baldwin,DL,Memphis,American Athletic,,,,,,,,,,,,,,1,,2,,1,4,,0,1.5,7,,,,,,,
4426623,Brant Banks,OL,Rice,American Athletic,,,,,,,,,,,,,,0,,0,,0,2,,0,0,2,,,,,,,
4426635,Darwin Barlow,RB,North Carolina,ACC,,,4,,,,,,,1713,,,,,,,2,,,,00,,,,,2225,,6.3,,11.0
4426636,Marcus Barnes,S,William & Mary,CAA,,11.3,,,,,1,4,,,1,,,0,,0,0,0,2,,00,0,6,,,45,,,,
4426639,Earl Barquet,DL,UL Monroe,Sun Belt,,,,,,,0,,,,0,,,0,,2,1,0,12,,0,3.5,32,,,,,,,
4426641,Joel Barrows,DL,Eastern Illinois,Big South-OVC,,,,,,,,,,,,,,0,,0,,0,1,,0,0,1,,,,,,,
4426645,Jouvensly Bazil,RB,Bethune-Cookman,SWAC,,17.0,25,,,,,,,17523,,1,,,,,4,,,,000,,,,,17-566,,2.6,,-1.3
4426646,Jared Bartlett,LB,Cincinnati,Big 12,,,,,,,,,,,,,,3,,2,,8,36,,0,12.0,70,,,,,,,
4426648,Hakeem Beamon,DT,Penn State,Big Ten,,,,,,,,,,,,,,0,,0,,0,1,,0,1.5,3,,,,,,,
4426652,C.J. Bazile,DE,Buffalo,Mid-American,,,,,,,,,,,,,,2,,2,,0,7,,0,1,7,,,,,,,
4426653,Kyrin Beachem,DB,Idaho,Big Sky,,14.0,,,,,0,1,,,0,,,1,,0,1,0,5,,00,0,8,,,14,,,,
4426655,Evan Bearden,TE,UC Davis,Big Sky,,,,,,,,,,,,,,0,,0,,0,1,,0,0,3,,,,,,,
4426657,Ryan Hilinski,QB,Northwestern,Big Ten,15,,2,9,,,1,1,,0,1,,0.600,,,,0,,,,00,,,,,121-4,8.1,-2.0,,
